ciudad_original;ciudad_corregida;veces
BOOGTA;BOGOTA;11
BOGOTOA;BOGOTA;6
DOSQUEBRADAS RISARALDA;DOSQUEBRADAS;5
CARTAGENA DE INDIAS;CARTAGENA;5
DOS QUEBRADAS RISARALDA;DOSQUEBRADAS;5
DOS QUEBRADAS;DOSQUEBRADAS;2
FINLANDIA QUINDIO;FILANDIA;2
CAUCACIA;CAUCASIA;2
CIUDAD DE CALI;CALI;2
DOSQUEBRADAS;DOSQUEBRADAS;2
FLORIDA BLANCA;FLORIDABLANCA;2
GUADALAJARA DE BUGA VALLE DEL CAUCA;BUGA;2
GUADALAJARA DE BUGA;BUGA;2
LACEJA ANTIOQUIA;LA CEJA;1
SANTAROSADEOSOS ANTIOQUIA;SANTA ROSA DE OSOS;1
ROZO VALLE;PALMIRA;1
CARMEN DE VIBORAL;EL CARMEN DE VIBORAL;1
RODALDILLO;ROLDANILLO;1
TINTAL BOGOTA;BOGOTA;1
AMAPOLAS BOGOTA;BOGOTA;1
PIE DE CUESTA SANT;PIEDECUESTA;1
CIUDAD BOLIVAR ANT;BOGOTA;1
DOSQUEBRADAS RISA;DOSQUEBRADAS;1
POAPYAN;POPAYAN;1
CATARGO;CARTAGO;1
CHIA BOGOTA;CHIA;1
VILLAVIVENCIO;VILLAVICENCIO;1
CEJA ANTIOQUIA;LA CEJA;1
TOLIMA ESPINAL;ESPINAL;1
ENVIGDO;ENVIGADO;1
MEDELIIN;MEDELLIN;1
RONALDILLO;ROLDANILLO;1
CARATENA;CARTAGENA;1
PIED DE CUESTA;PIEDECUESTA;1
MDELLIN;MEDELLIN;1
FONTIBON;BOGOTA;1
SBANETA ANTIOQUIA;SABANETA;1
CARTAJO VALLE DEL CAUCA;CARTAGO;1
SAN JOSE DEL GUAVAIRE;SAN JOSE DEL GUAVIARE;1
DOS QUEBRDAS RISARALDA;DOSQUEBRADAS;1
