fragmento;frecuencia;motivo;categoria_asignada;celda_ejemplo
SE;2;DESCONOCIDO;;CONSOLA PS4				 / MANTENIMIENTO				 / REVISION DE UNIDAD DE CD				 / SE CAMBIO EL VENTILADOR				 / PORCENTAJE 5%
CALZA;1;DESCONOCIDO;;CXC,DISE,MODTAC,CALZA,KITALUM
CARROJA;1;DESCONOCIDO;;CXC,DIS,CARROJA,RAPIDFIRE,KITALU,MODTAC
COLORPT;1;DESCONOCIDO;;CXXC,DIS,COLORPT,BOTYFLE
CAPMETA;1;DESCONOCIDO;;CXC,MODTAC,ARREGLOEJEY,CAPMETA
SHAR;1;DESCONOCIDO;;COMPRA,DIS,ANTIDESLIZ,KITALUM,SHAR,PAN,TAC
PAN;1;DESCONOCIDO;;COMPRA,DIS,ANTIDESLIZ,KITALUM,SHAR,PAN,TAC
TAC;1;DESCONOCIDO;;COMPRA,DIS,ANTIDESLIZ,KITALUM,SHAR,PAN,TAC
SHAYOPT;1;DESCONOCIDO;;CXC,DISE,KITPASTA,SHAYOPT,ARREGLOL2R2
PUL;1;DESCONOCIDO;;CXC,MODTAC,PUL
PULED;1;DESCONOCIDO;;CXC,DISE,ANTIDES,PULED,RAPIDFIRE,CONSOLPS4,SISREFRIYMANT
GOMITAS BLANCAS;1;DESCONOCIDO;;ARREGLO 2 CONTROLES, L1, R1 Y GATILLOS,DOMICILIO, GOMITAS BLANCAS,ARREGLO MUELLES, joystciks azules ambos controles
B;1;DESCONOCIDO;;DOMICILIO,CONTROL 1, DISEÑO MARMOL 3 ROJO,BOTONES A,B,Y, X,CONTROL 2, DISEÑO NARUTO (NUBES),TOPES,TAPA DE UN CONTROL
SOCCER MADNESS;1;DESCONOCIDO;;CONTROL PS4,DISEÑO MARMOL 3,KIT DE BOTONES,NOMBRE EN EL MANGO, SOCCER MADNESS,NOMBRE EN EL PANEL LEDANTIDESLIZANTE,MODIF TACTICA
B IZ;1;DESCONOCIDO;;CONTROL XBOX,KIT DE BOTONES EN ROJO,MODIFICACION TACTICA (A DE, B IZ),TOPES,ENVIO
S10 ROJO;1;DESCONOCIDO;;CONTROL DE ENTREGA INMEDIATA, S10 ROJO
ALPINE GREEN CON;1;DESCONOCIDO;;ALPINE GREEN CON MODIFICACION TACTICA
ALPINE GREEN ENTREGA INMEDIATA;1;DESCONOCIDO;;ALPINE GREEN ENTREGA INMEDIATA
ACT;1;DESCONOCIDO;;ACT, SISTEMA TACT, MANT Y CALIBRAC DE ANALOGOS
EJE Y DE L3;1;DESCONOCIDO;;EJE Y DE L3, MANTENIMIETNO, CAMBIO DE POTENCIOMETROS, CALIBRACION
INTERC;1;DESCONOCIDO;;COMPRAEDICIONGALAXY,INTERC
PAYU;1;DESCONOCIDO;;COMPRA,DISEÑO,ANTIDESLIZ,KITALUMINMIO,NOMBRE,PayU
ANAL;1;DESCONOCIDO;;COMPRA,DISEÑO,ANTIDESLIZ,BOT,ANAL,FLECH
R3 DERECHA;1;DESCONOCIDO;;CONTROL 1 CAPUCHAS NUEVAS	MANTENIMIENTO	PREVISUALIZACION DISEÑO AMERICA REAL MADRID CONTROL 2	CAMBIO ANALOGOS MODIFICACION TACTICA 2 FUNCIONES  X, R3 DERECHA MANTENIMIENTO INCLUIDO
IZQUIERDO CUADRO;1;DESCONOCIDO;;CONTROL PS5	 MODIFICACION TACTICA 4 FUNCIONES (PALETAS ESTANDAR. BOTONES: DERECHO TRIANGULO,  IZQUIERDO CUADRO
X DERECHA;1;DESCONOCIDO;;CONTROL PS5	MODIFICACION TACTICA (O izquierdo, X derecha)
DERECHO Y;1;DESCONOCIDO;;CONTROL XBOX ONE  DISEÑO FANTASMA	MODIFICACION TACTICA 4 FUNCIONES (PALETAS: Izquierda X, Derecha B.BOTONES: Izquierdo A, Derecho Y)	CAMBIO DE ANALOGOS 	MTTO
INGRESA CON CD COD;1;DESCONOCIDO;;CONSOLA PS4 FAT				 / MANTENIMIENTO				 / UNIDAD DE CD SE TRABA				 / INGRESA CON CD COD				 / CONTROL PS4				 / FLEX DE CARGA				 / CAMBIO ANALOGOS				 / MANTENIMIENTO				 / CAMBIO ACETATO				 / CAUCHO R2 L2
SE RECIBE;1;DESCONOCIDO;;CONTROL PS4 NEGRO NUEVO				 / SE RECIBE CONTROL POR 30000 MIL PESOS
PC;1;DESCONOCIDO;;PC				 / MANTENIMIENTO
SELE CAMBIA EL;1;DESCONOCIDO;;CONTROL PS5 NUEVO				 / MODIFICACION TACTICA DE 2 FUNCIONES				 / SELE CAMBIA EL CONTROL COMO GARANTIA YA QUE PRESENTO INCOVENIENTES 16/03/24
EJE X R3;1;DESCONOCIDO;;MANTENIMIENTO + VENTILADOR PS4 SLIM				 / 				 / 				 / CONTROL PS4				 / CAMBIO DE ANALOGO IZQUIERDO				 / GATILLO RAPIDO EN R2				 / EJE X R3				 / PULSADOR IZQ MOD TACTICA
AGREGAR;1;DESCONOCIDO;;CONTROL PS5 BLANCO				 / AGREGAR MODIFICACION DE 2 FUNCIONES EN LA PARTE DE ABAJO
